Year,Week,Ranking,TV,backdrop_path,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,poster_path,vote_average,vote_count
2020,33,6,Was It Love,/j8O5jkzqo9zsL76ujJQqhoLsSjz.jpg,2020-07-08,,96161,Was It Love?,,ko,"우리, 사랑했을까","After 14 years devoid of romance, a struggling movie producer and single mom faces the unexpected arrival of 4 men into her life—an author, an actor, a CEO, and a younger man—who might just revive her dormant desire for love.",4.103,/yKnzIJ92GbWXRpIsHPhxWPiyF50.jpg,8.2,9
2020,33,6,Was It Love,NA,2012-10-15,,198005,사랑했나봐,,ko,사랑했나봐,,0.6,/2S8W7j8iUTjK01X4WsBm7RnETQd.jpg,0,0
2020,33,6,Was It Love,/c8Cg80m2MkNzlt1vcbPuetzIiPQ.jpg,2010-11-10,,43611,1920. War and Love,,pl,1920. Wojna i miłość,,2.657,/fqaywLsTEvdfLCqklUjdF82VGmV.jpg,4,2
2020,33,6,Was It Love,/bt3ba0Q6epBzUi6EVCIjS8FpFSE.jpg,2019-10-10,,95102,All I Want for Love is You,,zh,满满喜欢你,"A story full of laughs follows sanda fighter Gu Xiao Man and school genius Zuo An as they chase after love.

Graduation is fast approaching for 3rd year high school student Gu Xiao Man. Unlike your average school girl, she is a sanda fighter who wins medals at the sport but not in class. Because she wants to continue to be schoolmates with her idol Zuo An, she decides to give the same effort to academics as she does to sanda. Her hard work combined with Zuo An's efforts to be her personal teacher pays off and they get into the same university. There's nothing sweeter than to have your crush crushing on you and their story continues on.",4.878,/nIdwhoQmwLgB6gZPcPApKz5qctY.jpg,7,2
2020,33,6,Was It Love,NA,2019-07-06,,91964,The Way We Love,,en,男神時代,"The way we love is a story between Liu Wan Biao, a best-selling author who was caught in a bottleneck, and Min Tien Ai, an editor who cannot overcome her agonizing past relationship. This is a story of rivalry and love. Min Tien Ai was originally a bookstore manager. Affected by the poor economic condition, the store was forced to go out of business, and Tien Ai became an editor of a publishing company. Her very first task was to publish the best-selling novel “Detective White”. Despite her enthusiasm and persistence to complete the job, she was confronted by Liu Wan Biao, who had lost his passion to write. Between their battle of wits, the two developed great chemistry. Wan Biao started to open up to Tien Ai, as fate seemed to pull them together in the most unpredictable way.",0.853,/tvmXKnGcK1v1yin4v70VRhnuoOZ.jpg,0,0
2020,33,6,Was It Love,NA,2019-10-05,,94310,The Way We Love,,en,The Way We Love,"The way we love is a story between Liu Wan Biao, a best-selling author who was caught in a bottleneck, and Min Tien Ai, an editor who cannot overcome her agonizing past relationship. This is a story of rivalry and love. Min Tien Ai was originally a bookstore manager. Affected by the poor economic condition, the store was forced to go out of business, and Tien Ai became an editor of a publishing company. Her very first task was to publish the novel “Detective White” by Liu Wan Biao. Despite her enthusiasm and persistence to complete the job, she was confronted by Liu Wan Biao, who had lost his passion to write. Between their battle of wits, the two developed great chemistry. Wan Biao started to open up to Tien Ai, as fate seemed to pull them together in the most unpredictable way",0.6,NA,0,0
2020,33,6,Was It Love,/gNqUQ8tIbn281Y0s8XkfN40kuNO.jpg,2020-07-20,,115232,The Way Love Begins,,zh,爱之初,,1.377,/oMeZNbhofKKs4NMgjlTaujcXPus.jpg,0,0
2020,33,6,Was It Love,NA,,,48909,Ishq Wala Love,,en,Ishq Wala Love,,0.6,NA,0,0
2020,33,6,Was It Love,/jh40wasKMewjAPprqkdXMbem6sb.jpg,2011-09-13,,48250,Waking Love Up,,zh,爱情睡醒了,"“Waking Love Up” is a 2011 Chinese drama directed by Shen Yi. It is a remake of the popular 2005 Taiwanese drama “The Prince Who Turns Into a Frog.”

What happens when you lose your memory on the day of your engagement? Xiang Tian Qi is a hotel heir and CEO of the HaoLi Hotel Group who is about to get engaged to Mu Zhi Qing, the hotel’s PR manager. But on the day of their engagement, a rival within the company deliberately causes an accident to get rid of Tian Qi. He survives the accident but loses his memory. When Liu Xiao Bei, a plucky country girl who dreams of a better life in the big city, finds Tian Qi, she takes him home to live with her family and he begins to go by the name Xiao Yu. After Tian Qi’s disappearance, Zhi Qing is comforted by Ji Ru Feng, the hotel celebrity spokesperson who has always liked her. As Tian Qi is increasingly drawn to the plucky Zhi Qing, will he be able to regain his memory and return to his previous life?",2.717,/u7bSZbsyPda2Qx1eA7EmqgbPFOp.jpg,6.5,2
2020,33,6,Was It Love,/uFwCgjKIvRMdvzLTWOJ9tqBG4Hk.jpg,2021-07-04,,127088,Hitman in Love,,ja,ボクの殺意が恋をした,"Onotora Shu does not know that his foster father is a legendary professional killer. However, his daily life dramatically changes after someone murders this professional killer. Onotora decides to take over the family business and become a hitman in order to avenge his foster father. He is well prepared when he approaches Narumiya Mitsuki who is his assassination target. Despite his physical abilities as a hitman, he is not able to kill her because of his terrible timing, no matter how he tries. On the contrary, he ends up protecting her as danger approaches. The two of them who should not fall in love, have an unlikely romance.",3.306,/qFGUgdzcT83JdT4oyOJak861Qyj.jpg,6,1
2020,33,6,Was It Love,NA,2021-02-07,,119008,Virus Wai Love: Nakrob Chut Kao,,th,ไวรัสวัยเลิฟ ชุด นักรบชุดขาว,The story is about the romance between a female doctor and a playboy engineering student during the COVID-19 pandemic.,0.6,NA,0,0
2020,33,6,Was It Love,NA,2003-07-03,,107122,I Want to be Loved to Love,,ja,愛するために愛されたい,"Motoharu Akiyama is an elite pilot who has just completed astronaut training at NASA. Something happened in his past that caused him to go out searching for the meaning and purpose of life. However, he hasn't been able to find a satisfactory reply and the void in his heart has only expanded. But Akiyama has a meeting that changes his life. He meets Reiko Nishina, a director at an investment bank, who is looking at investing in an attempt at the first Japanese space shuttle launch. Although the meeting was pure chance, it affects Reiko greatly. She realizes that although it looks like she has everything, there is something she wants that she doesn't have. And this meeting has an effect on those around them also...",1.4,NA,0,0
2020,33,6,Was It Love,NA,,,48395,Waking Love Up,,en,Waking Love Up,,0.6,NA,0,0
2020,33,6,Was It Love,/dJ8yrSokdTMnhKJw06MllSfCegb.jpg,2019-01-12,,83121,Kaguya-sama: Love is War,,ja,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,"Considered a genius due to having the highest grades in the country, Miyuki Shirogane leads the prestigious Shuchiin Academy's student council as its president, working alongside the beautiful and wealthy vice president Kaguya Shinomiya. The two are often regarded as the perfect couple by students despite them not being in any sort of romantic relationship.",102.274,/5khbC6AuNgnvnoDbjIMKCOhEtIc.jpg,8.8,503
2020,33,7,Reply 1988,/oDEPqQstDYUHUxzyHotV8yrnzGk.jpg,2015-11-06,,64010,Reply 1988,,ko,응답하라 1988,A nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.,17.442,/mqhYVbe20pB0PQXVZVdtbMakOCF.jpg,8.7,69
2020,33,8,Mr. Sunshine,/q5opZ4SjJzxlRCUOkTZeSfwJdjI.jpg,2011-02-09,,32710,Mr. Sunshine,,en,Mr. Sunshine,"Ben Donovan is a self-involved manager of a second-rate San Diego sports arena who begins to re-evaluate his life on his 40th birthday. Working alongside him is his boss and arena owner, Crystal--attractive, powerful and highly erratic; Alice--the cute, tomboyish marketing director and Ben's friend with benefits; Alonzo--a former basketball player, handsome and unbelievably happy; Ben's assistant, Heather--pretty, sweet, but terrifying because she once lit a boyfriend on fire; Crystal's son, Roman--sweet-faced, clueless and Ben's newest employee; and a hapless operations crew whom Ben refers to collectively as the ""Steves.""",7.394,/bGhKW250g40wsHp60GQJxa65Mg1.jpg,6.4,42
2020,33,8,Mr. Sunshine,NA,1986-03-28,,12267,Mr. Sunshine,,en,Mr. Sunshine,"Mr. Sunshine is the title of an American sitcom that aired on the ABC network for a season beginning in 1986.

The series followed the trials and tribulations of Paul Stark, a blind university professor. Co-stars were Barbara Babcock and Leonard Frey.

The series was controversial during its run, attracting criticism from interest groups claiming that Mr. Sunshine poked fun at the visually impaired by using the lead character's disability as a focus for much of the show's humor. Supporters of the series said the show treated the character and the disability respectfully.",1.194,NA,0,0
2020,33,8,Mr. Sunshine,/iFPMDgCKntxjW7X13S8Vfic3nzJ.jpg,2018-07-07,,75820,Mr. Sunshine,,ko,미스터 션샤인,"Set in the early 1900s, this drama tells the story of a young man from Korea who grows up in the United States. When he returns to Korea as a US Marine Corps officer, he meets and falls in love with a noblewoman who is fighting for Korean independence. Their romance is complicated by social class and political ideology.",14.264,/iftMALeIzTYYOVmPOCsS1mQvoNz.jpg,8.4,86
2020,33,9,Scarlet Heart: Ryeo,/i987SrMmgf7hk3EYAARHZ4q4KvX.jpg,2016-08-29,,66433,Scarlet Heart: Ryeo,,ko,달의 연인 - 보보경심 려,A story of a 25-year old Go Ha-jin who is transported back in time to the Goryeo Dynasty. She then wakes up in the body of Lady Hae-soo and finds herself amongst the ruling princes of the Wang Family.,40.05,/pjdPGHqUe60ZGQJR1TItVNaV4it.jpg,8.7,371
2020,34,4,Was It Love,/j8O5jkzqo9zsL76ujJQqhoLsSjz.jpg,2020-07-08,,96161,Was It Love?,,ko,"우리, 사랑했을까","After 14 years devoid of romance, a struggling movie producer and single mom faces the unexpected arrival of 4 men into her life—an author, an actor, a CEO, and a younger man—who might just revive her dormant desire for love.",4.103,/yKnzIJ92GbWXRpIsHPhxWPiyF50.jpg,8.2,9
2020,34,4,Was It Love,NA,2012-10-15,,198005,사랑했나봐,,ko,사랑했나봐,,0.6,/2S8W7j8iUTjK01X4WsBm7RnETQd.jpg,0,0
2020,34,4,Was It Love,/c8Cg80m2MkNzlt1vcbPuetzIiPQ.jpg,2010-11-10,,43611,1920. War and Love,,pl,1920. Wojna i miłość,,2.657,/fqaywLsTEvdfLCqklUjdF82VGmV.jpg,4,2
2020,34,4,Was It Love,/bt3ba0Q6epBzUi6EVCIjS8FpFSE.jpg,2019-10-10,,95102,All I Want for Love is You,,zh,满满喜欢你,"A story full of laughs follows sanda fighter Gu Xiao Man and school genius Zuo An as they chase after love.

Graduation is fast approaching for 3rd year high school student Gu Xiao Man. Unlike your average school girl, she is a sanda fighter who wins medals at the sport but not in class. Because she wants to continue to be schoolmates with her idol Zuo An, she decides to give the same effort to academics as she does to sanda. Her hard work combined with Zuo An's efforts to be her personal teacher pays off and they get into the same university. There's nothing sweeter than to have your crush crushing on you and their story continues on.",4.878,/nIdwhoQmwLgB6gZPcPApKz5qctY.jpg,7,2
2020,34,4,Was It Love,NA,2019-07-06,,91964,The Way We Love,,en,男神時代,"The way we love is a story between Liu Wan Biao, a best-selling author who was caught in a bottleneck, and Min Tien Ai, an editor who cannot overcome her agonizing past relationship. This is a story of rivalry and love. Min Tien Ai was originally a bookstore manager. Affected by the poor economic condition, the store was forced to go out of business, and Tien Ai became an editor of a publishing company. Her very first task was to publish the best-selling novel “Detective White”. Despite her enthusiasm and persistence to complete the job, she was confronted by Liu Wan Biao, who had lost his passion to write. Between their battle of wits, the two developed great chemistry. Wan Biao started to open up to Tien Ai, as fate seemed to pull them together in the most unpredictable way.",0.853,/tvmXKnGcK1v1yin4v70VRhnuoOZ.jpg,0,0
2020,34,4,Was It Love,NA,2019-10-05,,94310,The Way We Love,,en,The Way We Love,"The way we love is a story between Liu Wan Biao, a best-selling author who was caught in a bottleneck, and Min Tien Ai, an editor who cannot overcome her agonizing past relationship. This is a story of rivalry and love. Min Tien Ai was originally a bookstore manager. Affected by the poor economic condition, the store was forced to go out of business, and Tien Ai became an editor of a publishing company. Her very first task was to publish the novel “Detective White” by Liu Wan Biao. Despite her enthusiasm and persistence to complete the job, she was confronted by Liu Wan Biao, who had lost his passion to write. Between their battle of wits, the two developed great chemistry. Wan Biao started to open up to Tien Ai, as fate seemed to pull them together in the most unpredictable way",0.6,NA,0,0
2020,34,4,Was It Love,/gNqUQ8tIbn281Y0s8XkfN40kuNO.jpg,2020-07-20,,115232,The Way Love Begins,,zh,爱之初,,1.377,/oMeZNbhofKKs4NMgjlTaujcXPus.jpg,0,0
2020,34,4,Was It Love,NA,,,48909,Ishq Wala Love,,en,Ishq Wala Love,,0.6,NA,0,0
2020,34,4,Was It Love,/jh40wasKMewjAPprqkdXMbem6sb.jpg,2011-09-13,,48250,Waking Love Up,,zh,爱情睡醒了,"“Waking Love Up” is a 2011 Chinese drama directed by Shen Yi. It is a remake of the popular 2005 Taiwanese drama “The Prince Who Turns Into a Frog.”

What happens when you lose your memory on the day of your engagement? Xiang Tian Qi is a hotel heir and CEO of the HaoLi Hotel Group who is about to get engaged to Mu Zhi Qing, the hotel’s PR manager. But on the day of their engagement, a rival within the company deliberately causes an accident to get rid of Tian Qi. He survives the accident but loses his memory. When Liu Xiao Bei, a plucky country girl who dreams of a better life in the big city, finds Tian Qi, she takes him home to live with her family and he begins to go by the name Xiao Yu. After Tian Qi’s disappearance, Zhi Qing is comforted by Ji Ru Feng, the hotel celebrity spokesperson who has always liked her. As Tian Qi is increasingly drawn to the plucky Zhi Qing, will he be able to regain his memory and return to his previous life?",2.717,/u7bSZbsyPda2Qx1eA7EmqgbPFOp.jpg,6.5,2
2020,34,4,Was It Love,/uFwCgjKIvRMdvzLTWOJ9tqBG4Hk.jpg,2021-07-04,,127088,Hitman in Love,,ja,ボクの殺意が恋をした,"Onotora Shu does not know that his foster father is a legendary professional killer. However, his daily life dramatically changes after someone murders this professional killer. Onotora decides to take over the family business and become a hitman in order to avenge his foster father. He is well prepared when he approaches Narumiya Mitsuki who is his assassination target. Despite his physical abilities as a hitman, he is not able to kill her because of his terrible timing, no matter how he tries. On the contrary, he ends up protecting her as danger approaches. The two of them who should not fall in love, have an unlikely romance.",3.306,/qFGUgdzcT83JdT4oyOJak861Qyj.jpg,6,1
2020,34,4,Was It Love,NA,2021-02-07,,119008,Virus Wai Love: Nakrob Chut Kao,,th,ไวรัสวัยเลิฟ ชุด นักรบชุดขาว,The story is about the romance between a female doctor and a playboy engineering student during the COVID-19 pandemic.,0.6,NA,0,0
2020,34,4,Was It Love,NA,2003-07-03,,107122,I Want to be Loved to Love,,ja,愛するために愛されたい,"Motoharu Akiyama is an elite pilot who has just completed astronaut training at NASA. Something happened in his past that caused him to go out searching for the meaning and purpose of life. However, he hasn't been able to find a satisfactory reply and the void in his heart has only expanded. But Akiyama has a meeting that changes his life. He meets Reiko Nishina, a director at an investment bank, who is looking at investing in an attempt at the first Japanese space shuttle launch. Although the meeting was pure chance, it affects Reiko greatly. She realizes that although it looks like she has everything, there is something she wants that she doesn't have. And this meeting has an effect on those around them also...",1.4,NA,0,0
2020,34,4,Was It Love,NA,,,48395,Waking Love Up,,en,Waking Love Up,,0.6,NA,0,0
2020,34,4,Was It Love,/dJ8yrSokdTMnhKJw06MllSfCegb.jpg,2019-01-12,,83121,Kaguya-sama: Love is War,,ja,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,"Considered a genius due to having the highest grades in the country, Miyuki Shirogane leads the prestigious Shuchiin Academy's student council as its president, working alongside the beautiful and wealthy vice president Kaguya Shinomiya. The two are often regarded as the perfect couple by students despite them not being in any sort of romantic relationship.",102.274,/5khbC6AuNgnvnoDbjIMKCOhEtIc.jpg,8.8,503
2020,34,5,Three Kingdoms,/q4aKVMmOo2EzOcQ5xbCoh3sIV3L.jpg,2010-05-02,,18604,Three Kingdoms,,zh,三国,A Chinese television series based on the events in the late Eastern Han Dynasty and the Three Kingdoms period.,13.422,/nx8r4hBNddMT0cTYbvAV4ttrE2v.jpg,7.3,13
2020,34,5,Three Kingdoms,/fMKeS8gH5kXG0cmDAwTEQjrZYHU.jpg,1994-10-23,,72645,The Romance of the Three Kingdoms,,zh,三国演义,"Romance of the Three Kingdoms is a Chinese television series adapted from the classical 14th century novel of the same title by Luo Guanzhong.  It is part historical, part legend, and part mythical – romanticises and dramatizes the lives of feudal lords and their retainers, who tried to replace the dwindling Han dynasty or restore it. The focus is mainly on the three power blocs that emerged from the remnants of the Han dynasty, and would eventually form the three states of Cao Wei, Shu Han, and Eastern Wu. The novel deals with the plots, personal and military battles, intrigues, and struggles of these states to achieve dominance for almost 100 years.",15.071,/wfeRCZsElkFuXmN7SxzeAD66Tdv.jpg,9.3,12
2020,34,5,Three Kingdoms,/7hoaUmFIhih42sk4cgQ9AR16Oq9.jpg,2018-03-27,,78326,Secret of the Three Kingdoms,,zh,三国机密之潜龙在渊,"The epic story of twin brothers Liu Xie and Liu Ping of the late Eastern Han Dynasty, one raised as an emperor and the other a commoner.",7.531,/zUmLrhgAIvyovIHO01n6Ga8GNe2.jpg,8,2
2020,34,5,Three Kingdoms,NA,2010-04-03,,60158,SD Gundam Legend of the Three Kingdoms Brave Battle Warriors,,en,SD Gundam Legend of the Three Kingdoms Brave Battle Warriors,,0.6,/k3IRaCcUt2CxrbdqrjSNnSFMdtj.jpg,0,0
2020,34,5,Three Kingdoms,/mA4SsTAQaYJ3GKUcJXWWLtxlZO9.jpg,2012-07-09,,38927,Three Kingdoms RPG,,cn,回到三國,"Vincent Sima is a lazy slacker addicted to video games, especially ""Three Kingdoms"" where he is a master in game strategy. When a typhoon occurs in Hong Kong, he is transported back in time to the Three Kingdoms era of Chinese history, where he meets several historical figures and becomes a valuable strategist in shaping key historical events.",3.781,/wagF5UWUNZ3pvtzFqJdRUsQqUmi.jpg,0,0
2020,34,5,Three Kingdoms,/kzArmYkpUr6hAaRLtAtcRiSzjuI.jpg,1991-10-18,,43853,Romance of the Three Kingdoms,,ja,横山光輝 三国志,"Yokoyama Mitsuteru Sangokushi is a Japanese anime series based on the Sangokushi manga by Mitsuteru Yokoyama, itself based on Eiji Yoshikawa's retelling of the Chinese literary classic Romance of the Three Kingdoms.",6.515,/w8nkt5fREdXUEd4S73yiLWdp5vb.jpg,7,2
2020,34,5,Three Kingdoms,/ocGZRy5l0kbThK5CY2lMDidsIbe.jpg,2009-08-01,,81191,Romance of the Three Kingdoms,,zh,三国演义,Romance of the Three Kingdoms is a 2009 animated television series joint produced by the Beijing Huihuang Animation Company of China and Future Planet of Japan. It was broadcast in Japan starting April 2010.,4.341,/uDBzMYVKl4L0Vutx6ZgvhxzIf32.jpg,10,2
2020,34,5,Three Kingdoms,NA,2019-02-14,,86809,Romance of Three Kingdoms,,zh,三國 演義,,0.6,/6koRMmowwQRn2gWQnpOQ8IEZ4p2.jpg,0,0
2020,34,5,Three Kingdoms,/2FYhOucXlmONfXOE86MEkziHJDQ.jpg,2016-03-02,,127828,Legend Hero Samgugjeon,,ko,레전드히어로 삼국전,"Legend Hero Samgugjeon is a Korean tokusatsu television series. Produced by MoonWatcher and Synergy Media. The Series is broadcasted in EBS1.

Legend Hero Samgugjeon is heavily based off of the Romance of the Three Kingdoms. Many elements of the original story are carried over to the show. Many characters share names and attributes with characters of the original story. Several events in the show are also based on events in the classic story.",4.847,/cww4DsasoIKoaA0ahA6svMWqcLL.jpg,9,1
2020,34,5,Three Kingdoms,/zHCLr4BjOBDk56iWZcjMdLRmwUb.jpg,2020-12-12,,197234,新解釈・三國志－異聞,,ja,新解釈・三國志－異聞,,0.633,/j3iD2N1fSIprHIWx5yLkulN0DiA.jpg,0,0
2020,34,6,Reply 1988,/oDEPqQstDYUHUxzyHotV8yrnzGk.jpg,2015-11-06,,64010,Reply 1988,,ko,응답하라 1988,A nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.,17.442,/mqhYVbe20pB0PQXVZVdtbMakOCF.jpg,8.7,69
2020,34,8,Scarlet Heart: Ryeo,/i987SrMmgf7hk3EYAARHZ4q4KvX.jpg,2016-08-29,,66433,Scarlet Heart: Ryeo,,ko,달의 연인 - 보보경심 려,A story of a 25-year old Go Ha-jin who is transported back in time to the Goryeo Dynasty. She then wakes up in the body of Lady Hae-soo and finds herself amongst the ruling princes of the Wang Family.,40.05,/pjdPGHqUe60ZGQJR1TItVNaV4it.jpg,8.7,371
2020,34,9,Mr. Sunshine,/q5opZ4SjJzxlRCUOkTZeSfwJdjI.jpg,2011-02-09,,32710,Mr. Sunshine,,en,Mr. Sunshine,"Ben Donovan is a self-involved manager of a second-rate San Diego sports arena who begins to re-evaluate his life on his 40th birthday. Working alongside him is his boss and arena owner, Crystal--attractive, powerful and highly erratic; Alice--the cute, tomboyish marketing director and Ben's friend with benefits; Alonzo--a former basketball player, handsome and unbelievably happy; Ben's assistant, Heather--pretty, sweet, but terrifying because she once lit a boyfriend on fire; Crystal's son, Roman--sweet-faced, clueless and Ben's newest employee; and a hapless operations crew whom Ben refers to collectively as the ""Steves.""",7.394,/bGhKW250g40wsHp60GQJxa65Mg1.jpg,6.4,42
2020,34,9,Mr. Sunshine,NA,1986-03-28,,12267,Mr. Sunshine,,en,Mr. Sunshine,"Mr. Sunshine is the title of an American sitcom that aired on the ABC network for a season beginning in 1986.

The series followed the trials and tribulations of Paul Stark, a blind university professor. Co-stars were Barbara Babcock and Leonard Frey.

The series was controversial during its run, attracting criticism from interest groups claiming that Mr. Sunshine poked fun at the visually impaired by using the lead character's disability as a focus for much of the show's humor. Supporters of the series said the show treated the character and the disability respectfully.",1.194,NA,0,0
2020,34,9,Mr. Sunshine,/iFPMDgCKntxjW7X13S8Vfic3nzJ.jpg,2018-07-07,,75820,Mr. Sunshine,,ko,미스터 션샤인,"Set in the early 1900s, this drama tells the story of a young man from Korea who grows up in the United States. When he returns to Korea as a US Marine Corps officer, he meets and falls in love with a noblewoman who is fighting for Korean independence. Their romance is complicated by social class and political ideology.",14.264,/iftMALeIzTYYOVmPOCsS1mQvoNz.jpg,8.4,86
2020,35,5,Was It Love,/j8O5jkzqo9zsL76ujJQqhoLsSjz.jpg,2020-07-08,,96161,Was It Love?,,ko,"우리, 사랑했을까","After 14 years devoid of romance, a struggling movie producer and single mom faces the unexpected arrival of 4 men into her life—an author, an actor, a CEO, and a younger man—who might just revive her dormant desire for love.",4.103,/yKnzIJ92GbWXRpIsHPhxWPiyF50.jpg,8.2,9
2020,35,5,Was It Love,NA,2012-10-15,,198005,사랑했나봐,,ko,사랑했나봐,,0.6,/2S8W7j8iUTjK01X4WsBm7RnETQd.jpg,0,0
2020,35,5,Was It Love,/c8Cg80m2MkNzlt1vcbPuetzIiPQ.jpg,2010-11-10,,43611,1920. War and Love,,pl,1920. Wojna i miłość,,2.657,/fqaywLsTEvdfLCqklUjdF82VGmV.jpg,4,2
2020,35,5,Was It Love,/bt3ba0Q6epBzUi6EVCIjS8FpFSE.jpg,2019-10-10,,95102,All I Want for Love is You,,zh,满满喜欢你,"A story full of laughs follows sanda fighter Gu Xiao Man and school genius Zuo An as they chase after love.

Graduation is fast approaching for 3rd year high school student Gu Xiao Man. Unlike your average school girl, she is a sanda fighter who wins medals at the sport but not in class. Because she wants to continue to be schoolmates with her idol Zuo An, she decides to give the same effort to academics as she does to sanda. Her hard work combined with Zuo An's efforts to be her personal teacher pays off and they get into the same university. There's nothing sweeter than to have your crush crushing on you and their story continues on.",4.878,/nIdwhoQmwLgB6gZPcPApKz5qctY.jpg,7,2
2020,35,5,Was It Love,NA,2019-07-06,,91964,The Way We Love,,en,男神時代,"The way we love is a story between Liu Wan Biao, a best-selling author who was caught in a bottleneck, and Min Tien Ai, an editor who cannot overcome her agonizing past relationship. This is a story of rivalry and love. Min Tien Ai was originally a bookstore manager. Affected by the poor economic condition, the store was forced to go out of business, and Tien Ai became an editor of a publishing company. Her very first task was to publish the best-selling novel “Detective White”. Despite her enthusiasm and persistence to complete the job, she was confronted by Liu Wan Biao, who had lost his passion to write. Between their battle of wits, the two developed great chemistry. Wan Biao started to open up to Tien Ai, as fate seemed to pull them together in the most unpredictable way.",0.853,/tvmXKnGcK1v1yin4v70VRhnuoOZ.jpg,0,0
